Year,RM,Crop,Yield
2000,37,Canola,24.2
2001,37,Canola,16.8
2002,37,Canola,16.0
2003,37,Canola,8.2
2004,37,Canola,24.8
2005,37,Canola,20.4
2006,37,Canola,16.9
2007,37,Canola,17.7
2008,37,Canola,20.1
2009,37,Canola,28.7
2010,37,Canola,25.4
2011,37,Canola,13.6
2012,37,Canola,24.2
2013,37,Canola,33.6
2014,37,Canola,30.16
2015,37,Canola,31.82
2016,37,Canola,35.6
2017,37,Canola,15.44
2018,37,Canola,25.7
2019,37,Canola,20.2
2020,37,Canola,32.7
2021,37,Canola,21.5
2022,37,Canola,36.6
2023,37,Canola,24.6
2024,37,Canola,22.4
2025,37,Canola,42.1
1971,38,Canola,17.0
1972,38,Canola,14.0
1980,38,Canola,11.0
1982,38,Canola,21.0
1983,38,Canola,16.0
1984,38,Canola,4.0
1986,38,Canola,18.0
1987,38,Canola,18.0
1988,38,Canola,3.0
1989,38,Canola,4.0
1992,38,Canola,20.0
1993,38,Canola,25.7
1994,38,Canola,10.2
1995,38,Canola,14.3
1996,38,Canola,22.0
1997,38,Canola,14.7
1998,38,Canola,21.5
1999,38,Canola,20.8
2000,38,Canola,31.7
2001,38,Canola,25.2
2002,38,Canola,20.2
2003,38,Canola,12.1
2004,38,Canola,29.7
2005,38,Canola,27.9
2006,38,Canola,20.2
2007,38,Canola,22.5
2008,38,Canola,22.1
2009,38,Canola,33.5
2010,38,Canola,26.8
2011,38,Canola,20.3
2012,38,Canola,26.5
2013,38,Canola,38.0
2014,38,Canola,32.46
2015,38,Canola,29.45
2016,38,Canola,40.7
2017,38,Canola,13.34
2018,38,Canola,23.3
2019,38,Canola,27.0
2020,38,Canola,37.2
2021,38,Canola,23.8
2022,38,Canola,36.4
2023,38,Canola,24.5
2024,38,Canola,14.9
2025,38,Canola,38.4
1987,39,Canola,20.0
1988,39,Canola,5.0
1989,39,Canola,5.0
1990,39,Canola,20.0
1992,39,Canola,30.0
1993,39,Canola,24.5
1994,39,Canola,20.0
1995,39,Canola,19.7
1996,39,Canola,22.5
1997,39,Canola,21.2
1998,39,Canola,19.6
1999,39,Canola,23.6
2000,39,Canola,20.9
2001,39,Canola,17.9
2002,39,Canola,17.9
2003,39,Canola,9.3
2004,39,Canola,20.5
2005,39,Canola,20.7
2006,39,Canola,18.8
2007,39,Canola,21.3
2008,39,Canola,28.5
2009,39,Canola,35.9
2010,39,Canola,32.1
2011,39,Canola,23.8
2012,39,Canola,26.5
2013,39,Canola,41.0
2014,39,Canola,40.45
2015,39,Canola,28.8
2016,39,Canola,46.6
2017,39,Canola,17.83
2018,39,Canola,31.6
2019,39,Canola,37.8
2020,39,Canola,40.7
2021,39,Canola,28.9
2022,39,Canola,30.3
2023,39,Canola,25.8
2024,39,Canola,11.1
2025,39,Canola,52.6
1969,40,Canola,12.0
1994,40,Canola,15.0
1995,40,Canola,15.0
1996,40,Canola,15.0
1997,40,Canola,9.7
1998,40,Canola,14.5
1999,40,Canola,27.2
2000,40,Canola,22.7
2002,40,Canola,13.6
2003,40,Canola,8.0
2005,40,Canola,16.0
2006,40,Canola,7.1
2007,40,Canola,13.5
2009,40,Canola,25.0
2010,40,Canola,25.6
2011,40,Canola,24.7
2012,40,Canola,21.9
2013,40,Canola,27.6
2014,40,Canola,35.12
2015,40,Canola,26.86
2016,40,Canola,37.1
2017,40,Canola,11.57
2018,40,Canola,30.0
2019,40,Canola,29.9
2020,40,Canola,26.6
2021,40,Canola,20.6
2022,40,Canola,25.9
2023,40,Canola,18.8
2024,40,Canola,7.4
2025,40,Canola,44.2
1979,42,Canola,25.0
1984,42,Canola,6.0
1985,42,Canola,11.0
1994,42,Canola,20.0
1995,42,Canola,18.9
1996,42,Canola,22.0
1997,42,Canola,17.4
1998,42,Canola,15.7
1999,42,Canola,25.7
2000,42,Canola,19.2
2001,42,Canola,14.8
2002,42,Canola,18.0
2003,42,Canola,10.5
2004,42,Canola,24.4
2005,42,Canola,21.5
2006,42,Canola,13.5
2007,42,Canola,8.5
2008,42,Canola,20.0
2009,42,Canola,24.0
2010,42,Canola,24.1
2011,42,Canola,22.0
2012,42,Canola,22.2
2013,42,Canola,35.5
2014,42,Canola,35.43
2015,42,Canola,37.93
2016,42,Canola,50.9
2017,42,Canola,14.91
2018,42,Canola,34.0
2019,42,Canola,37.6
2020,42,Canola,32.5
2021,42,Canola,13.6
2022,42,Canola,25.4
2023,42,Canola,27.4
2024,42,Canola,10.7
2025,42,Canola,25.6
1970,43,Canola,14.0
1978,43,Canola,18.0
1984,43,Canola,4.0
1994,43,Canola,25.0
1995,43,Canola,20.0
1996,43,Canola,23.2
1997,43,Canola,18.0
1998,43,Canola,8.6
1999,43,Canola,17.5
2000,43,Canola,18.0
2001,43,Canola,20.0
2002,43,Canola,16.0
2003,43,Canola,11.6
2004,43,Canola,21.4
2006,43,Canola,20.0
2007,43,Canola,14.0
2008,43,Canola,15.0
2010,43,Canola,19.9
2011,43,Canola,17.4
2012,43,Canola,21.5
2013,43,Canola,30.3
2014,43,Canola,25.92
2015,43,Canola,20.48
2016,43,Canola,37.3
2017,43,Canola,9.49
2018,43,Canola,15.5
2019,43,Canola,18.0
2020,43,Canola,22.2
2021,43,Canola,6.0
2022,43,Canola,25.9
2023,43,Canola,11.8
2024,43,Canola,8.0
2025,43,Canola,18.1
1993,44,Canola,16.0
1994,44,Canola,15.4
1995,44,Canola,20.0
1996,44,Canola,17.0
1997,44,Canola,15.7
1998,44,Canola,16.0
1999,44,Canola,25.0
2000,44,Canola,25.0
2001,44,Canola,15.0
2003,44,Canola,8.0
2004,44,Canola,30.0
2005,44,Canola,16.1
2006,44,Canola,14.0
2007,44,Canola,5.5
2008,44,Canola,17.5
2009,44,Canola,23.4
2010,44,Canola,19.0
2011,44,Canola,21.1
2012,44,Canola,20.0
2013,44,Canola,32.0
2014,44,Canola,22.44
2015,44,Canola,37.74
2016,44,Canola,47.1
2017,44,Canola,17.56
2018,44,Canola,18.0
2019,44,Canola,35.5
2020,44,Canola,19.4
2022,44,Canola,17.3
2023,44,Canola,10.8
2024,44,Canola,10.3
2025,44,Canola,24.2
1983,45,Canola,15.0
1984,45,Canola,7.0
1993,45,Canola,30.0
1994,45,Canola,21.5
1995,45,Canola,13.9
1996,45,Canola,10.7
1997,45,Canola,9.0
1999,45,Canola,17.8
2002,45,Canola,13.9
2003,45,Canola,7.5
2004,45,Canola,14.6
2010,45,Canola,14.3
2011,45,Canola,14.8
2012,45,Canola,18.1
2015,45,Canola,32.5
2017,45,Canola,9.33
2018,45,Canola,30.0
2019,45,Canola,38.9
2020,45,Canola,24.4
2021,45,Canola,4.0
2022,45,Canola,11.4
2023,45,Canola,13.4
2024,45,Canola,13.5
2025,45,Canola,21.0
1994,46,Canola,20.0
1995,46,Canola,20.0
1996,46,Canola,15.0
1997,46,Canola,22.5
1998,46,Canola,15.0
1999,46,Canola,25.3
2012,46,Canola,13.0
2017,46,Canola,12.63
2019,46,Canola,36.9
2021,46,Canola,6.0
2022,46,Canola,15.4
2024,46,Canola,19.8
2025,46,Canola,24.6
1978,49,Canola,15.0
1979,49,Canola,20.0
1982,49,Canola,25.0
1983,49,Canola,17.5
1984,49,Canola,4.0
1986,49,Canola,15.0
1987,49,Canola,18.0
1988,49,Canola,17.5
1989,49,Canola,17.7
1990,49,Canola,19.0
1992,49,Canola,22.0
1993,49,Canola,27.0
1994,49,Canola,18.5
1995,49,Canola,27.9
1996,49,Canola,24.4
1997,49,Canola,15.0
1998,49,Canola,21.8
1999,49,Canola,20.5
2000,49,Canola,17.8
2001,49,Canola,11.8
2002,49,Canola,23.1
2003,49,Canola,7.8
2004,49,Canola,17.2
2005,49,Canola,18.3
2007,49,Canola,12.1
2010,49,Canola,28.0
2011,49,Canola,18.9
2012,49,Canola,23.8
2013,49,Canola,42.8
2014,49,Canola,28.75
2015,49,Canola,28.0
2016,49,Canola,26.8
2017,49,Canola,17.52
2018,49,Canola,25.0
2019,49,Canola,33.9
2020,49,Canola,26.7
2021,49,Canola,18.3
2022,49,Canola,12.1
2023,49,Canola,12.7
2024,49,Canola,20.6
2025,49,Canola,35.0
1983,51,Canola,10.0
1984,51,Canola,4.0
1994,51,Canola,20.0
1995,51,Canola,18.0
1996,51,Canola,25.0
1997,51,Canola,18.0
1998,51,Canola,16.0
1999,51,Canola,20.5
2004,51,Canola,20.0
2005,51,Canola,17.7
2006,51,Canola,8.5
2007,51,Canola,8.0
2008,51,Canola,18.0
2009,51,Canola,13.0
2010,51,Canola,22.4
2011,51,Canola,22.5
2012,51,Canola,18.7
2013,51,Canola,29.2
2014,51,Canola,20.6
2015,51,Canola,15.67
2016,51,Canola,36.0
2017,51,Canola,14.48
2018,51,Canola,13.5
2019,51,Canola,19.5
2020,51,Canola,15.1
2021,51,Canola,4.6
2023,51,Canola,19.0
1967,61,Canola,15.0
1969,61,Canola,20.0
1970,61,Canola,19.0
1971,61,Canola,22.0
1972,61,Canola,19.0
1973,61,Canola,20.0
1974,61,Canola,18.0
1975,61,Canola,16.0
1976,61,Canola,20.0
1977,61,Canola,22.0
1978,61,Canola,23.0
1979,61,Canola,10.0
1980,61,Canola,15.0
1981,61,Canola,18.0
1982,61,Canola,23.0
1983,61,Canola,14.9
1984,61,Canola,11.2
1985,61,Canola,23.9
1986,61,Canola,26.4
1987,61,Canola,28.7
1988,61,Canola,19.4
1989,61,Canola,5.7
1990,61,Canola,23.2
1991,61,Canola,26.3
1992,61,Canola,19.4
1993,61,Canola,24.0
1994,61,Canola,20.7
1995,61,Canola,16.5
1996,61,Canola,26.0
1997,61,Canola,21.4
1998,61,Canola,21.3
1999,61,Canola,22.8
2000,61,Canola,27.6
2001,61,Canola,22.3
2002,61,Canola,24.6
2003,61,Canola,21.8
2004,61,Canola,23.1
2005,61,Canola,28.3
2006,61,Canola,25.3
2007,61,Canola,28.3
2008,61,Canola,34.4
2009,61,Canola,39.1
2010,61,Canola,29.2
2011,61,Canola,21.4
2012,61,Canola,24.8
2013,61,Canola,23.1
2014,61,Canola,22.25
2015,61,Canola,31.43
2016,61,Canola,33.6
2017,61,Canola,35.76
2018,61,Canola,34.6
2019,61,Canola,38.6
2020,61,Canola,40.6
2021,61,Canola,34.9
2022,61,Canola,38.8
2023,61,Canola,42.8
2024,61,Canola,39.5
2025,61,Canola,47.2
1967,63,Canola,9.0
1969,63,Canola,20.0
1970,63,Canola,16.0
1971,63,Canola,20.0
1972,63,Canola,16.0
1973,63,Canola,17.0
1974,63,Canola,15.0
1975,63,Canola,15.0
1976,63,Canola,13.0
1977,63,Canola,24.0
1978,63,Canola,20.0
1979,63,Canola,17.0
1980,63,Canola,20.0
1981,63,Canola,20.0
1982,63,Canola,19.0
1983,63,Canola,15.7
1984,63,Canola,13.0
1985,63,Canola,16.8
1986,63,Canola,24.0
1987,63,Canola,26.1
1988,63,Canola,16.3
1989,63,Canola,8.3
1990,63,Canola,21.0
1991,63,Canola,24.7
1992,63,Canola,25.8
1993,63,Canola,29.0
1994,63,Canola,22.0
1995,63,Canola,18.7
1996,63,Canola,23.2
1997,63,Canola,18.6
1998,63,Canola,21.6
1999,63,Canola,27.0
2000,63,Canola,22.3
2001,63,Canola,23.9
2002,63,Canola,23.1
2003,63,Canola,21.9
2004,63,Canola,20.7
2005,63,Canola,28.5
2006,63,Canola,25.4
2007,63,Canola,23.6
2008,63,Canola,30.1
2009,63,Canola,37.7
2010,63,Canola,25.8
2011,63,Canola,25.4
2012,63,Canola,26.8
2013,63,Canola,32.1
2014,63,Canola,28.74
2015,63,Canola,34.48
2016,63,Canola,38.5
2017,63,Canola,33.82
2018,63,Canola,39.4
2019,63,Canola,40.0
2020,63,Canola,46.3
2021,63,Canola,38.6
2022,63,Canola,44.6
2023,63,Canola,42.0
2024,63,Canola,41.1
2025,63,Canola,51.1
1970,64,Canola,18.0
1971,64,Canola,20.0
1972,64,Canola,18.0
1973,64,Canola,15.0
1974,64,Canola,20.0
1975,64,Canola,13.0
1976,64,Canola,12.0
1977,64,Canola,15.0
1978,64,Canola,21.0
1979,64,Canola,12.0
1980,64,Canola,17.0
1981,64,Canola,16.0
1982,64,Canola,14.0
1983,64,Canola,14.2
1984,64,Canola,10.0
1985,64,Canola,9.4
1986,64,Canola,33.0
1987,64,Canola,25.7
1988,64,Canola,20.0
1989,64,Canola,6.0
1990,64,Canola,20.0
1991,64,Canola,20.0
1992,64,Canola,30.0
1993,64,Canola,26.4
1994,64,Canola,22.0
1995,64,Canola,17.8
1996,64,Canola,21.8
1997,64,Canola,14.8
1998,64,Canola,16.9
1999,64,Canola,23.0
2000,64,Canola,26.7
2001,64,Canola,20.2
2002,64,Canola,27.0
2003,64,Canola,16.7
2004,64,Canola,22.3
2005,64,Canola,25.7
2006,64,Canola,24.4
2007,64,Canola,23.5
2008,64,Canola,24.5
2009,64,Canola,31.6
2010,64,Canola,34.3
2011,64,Canola,23.4
2012,64,Canola,28.7
2013,64,Canola,37.0
2014,64,Canola,37.1
2015,64,Canola,32.49
2016,64,Canola,37.9
2017,64,Canola,32.5
2018,64,Canola,38.0
2019,64,Canola,38.7
2020,64,Canola,39.7
2021,64,Canola,38.6
2022,64,Canola,39.0
2023,64,Canola,35.9
2024,64,Canola,38.3
2025,64,Canola,49.8
1968,65,Canola,11.0
1970,65,Canola,15.0
1971,65,Canola,20.0
1972,65,Canola,18.0
1973,65,Canola,10.0
1974,65,Canola,16.0
1975,65,Canola,20.0
1976,65,Canola,15.0
1977,65,Canola,22.0
1978,65,Canola,25.0
1979,65,Canola,11.0
1980,65,Canola,10.0
1981,65,Canola,16.0
1982,65,Canola,17.0
1983,65,Canola,14.0
1984,65,Canola,6.8
1985,65,Canola,7.3
1986,65,Canola,24.0
1987,65,Canola,22.3
1988,65,Canola,9.5
1989,65,Canola,6.0
1990,65,Canola,20.0
1991,65,Canola,22.0
1992,65,Canola,28.1
1993,65,Canola,31.5
1994,65,Canola,20.2
1995,65,Canola,18.1
1996,65,Canola,25.4
1997,65,Canola,17.6
1998,65,Canola,20.6
1999,65,Canola,26.9
2000,65,Canola,36.9
2001,65,Canola,21.8
2002,65,Canola,17.2
2003,65,Canola,13.2
2004,65,Canola,26.5
2005,65,Canola,26.7
2006,65,Canola,22.6
2007,65,Canola,23.8
2008,65,Canola,21.0
2009,65,Canola,28.1
2010,65,Canola,37.7
2011,65,Canola,13.7
2012,65,Canola,30.0
2013,65,Canola,36.0
2014,65,Canola,23.58
2015,65,Canola,26.78
2016,65,Canola,34.1
2017,65,Canola,24.75
2018,65,Canola,33.6
2019,65,Canola,39.8
2020,65,Canola,42.4
2021,65,Canola,29.0
2022,65,Canola,42.1
2023,65,Canola,28.2
2024,65,Canola,33.9
2025,65,Canola,47.7
1970,66,Canola,20.0
1971,66,Canola,18.0
1972,66,Canola,19.0
1973,66,Canola,18.0
1974,66,Canola,17.0
1975,66,Canola,8.0
1977,66,Canola,15.0
1978,66,Canola,23.0
1979,66,Canola,12.0
1980,66,Canola,9.0
1982,66,Canola,10.0
1983,66,Canola,5.3
1984,66,Canola,7.0
1985,66,Canola,8.0
1986,66,Canola,30.0
1987,66,Canola,29.0
1988,66,Canola,3.3
1989,66,Canola,6.0
1990,66,Canola,15.0
1991,66,Canola,10.0
1992,66,Canola,20.0
1993,66,Canola,29.2
1994,66,Canola,23.4
1995,66,Canola,19.2
1996,66,Canola,26.6
1997,66,Canola,16.4
1998,66,Canola,20.1
1999,66,Canola,19.0
2000,66,Canola,25.3
2001,66,Canola,16.1
2002,66,Canola,17.9
2003,66,Canola,9.2
2004,66,Canola,21.7
2005,66,Canola,25.5
2006,66,Canola,19.9
2007,66,Canola,18.4
2008,66,Canola,22.2
2009,66,Canola,37.2
2010,66,Canola,28.9
2011,66,Canola,18.1
2012,66,Canola,22.1
2013,66,Canola,28.8
2014,66,Canola,26.62
2015,66,Canola,28.89
2016,66,Canola,39.5
2017,66,Canola,22.92
2018,66,Canola,31.5
2019,66,Canola,39.0
2020,66,Canola,38.6
2021,66,Canola,26.8
2022,66,Canola,43.6
2023,66,Canola,24.9
2024,66,Canola,29.8
2025,66,Canola,45.8
1968,67,Canola,10.0
1969,67,Canola,20.0
1970,67,Canola,16.0
1971,67,Canola,18.0
1972,67,Canola,20.0
1973,67,Canola,14.0
1974,67,Canola,17.0
1975,67,Canola,12.0
1976,67,Canola,15.0
1977,67,Canola,20.0
1978,67,Canola,21.0
1979,67,Canola,12.0
1980,67,Canola,11.0
1982,67,Canola,21.0
1983,67,Canola,17.7
1984,67,Canola,4.0
1985,67,Canola,9.0
1986,67,Canola,22.3
1987,67,Canola,27.5
1988,67,Canola,2.0
1989,67,Canola,6.0
1993,67,Canola,30.0
1994,67,Canola,23.0
1995,67,Canola,23.1
1996,67,Canola,27.0
1997,67,Canola,9.4
1998,67,Canola,24.6
1999,67,Canola,24.6
2000,67,Canola,23.7
2001,67,Canola,20.4
2002,67,Canola,14.7
2003,67,Canola,7.6
2004,67,Canola,29.9
2005,67,Canola,27.7
2006,67,Canola,22.3
2007,67,Canola,27.5
2008,67,Canola,26.6
2009,67,Canola,33.6
2010,67,Canola,28.5
2011,67,Canola,18.9
2012,67,Canola,22.1
2013,67,Canola,37.9
2014,67,Canola,32.61
2015,67,Canola,27.13
2016,67,Canola,35.5
2017,67,Canola,19.96
2018,67,Canola,29.5
2019,67,Canola,30.2
2020,67,Canola,32.8
2021,67,Canola,20.6
2022,67,Canola,41.2
2023,67,Canola,29.8
2024,67,Canola,25.6
2025,67,Canola,44.7
1970,68,Canola,10.0
1971,68,Canola,19.0
1972,68,Canola,20.0
1973,68,Canola,10.0
1974,68,Canola,15.0
1975,68,Canola,16.0
1976,68,Canola,18.0
1977,68,Canola,19.0
1978,68,Canola,18.0
1979,68,Canola,11.0
1982,68,Canola,15.0
1983,68,Canola,7.7
1984,68,Canola,3.0
1985,68,Canola,3.0
1986,68,Canola,20.0
1987,68,Canola,10.0
1988,68,Canola,3.0
1989,68,Canola,5.0
1994,68,Canola,16.0
1995,68,Canola,15.0
1996,68,Canola,15.0
1997,68,Canola,8.3
1998,68,Canola,11.2
1999,68,Canola,20.3
2000,68,Canola,22.9
2001,68,Canola,23.0
2002,68,Canola,12.9
2003,68,Canola,12.4
2004,68,Canola,22.9
2005,68,Canola,25.5
2006,68,Canola,14.5
2007,68,Canola,20.6
2008,68,Canola,21.7
2009,68,Canola,27.1
2010,68,Canola,28.7
2011,68,Canola,15.5
2012,68,Canola,24.9
2013,68,Canola,38.3
2014,68,Canola,31.46
2015,68,Canola,25.7
2016,68,Canola,42.7
2017,68,Canola,17.01
2018,68,Canola,31.5
2019,68,Canola,27.7
2020,68,Canola,33.0
2021,68,Canola,21.5
2022,68,Canola,37.7
2023,68,Canola,26.3
2024,68,Canola,21.0
2025,68,Canola,44.1
1970,69,Canola,10.0
1971,69,Canola,19.0
1972,69,Canola,13.0
1979,69,Canola,20.0
1980,69,Canola,18.0
1983,69,Canola,14.0
1984,69,Canola,11.0
1993,69,Canola,35.0
1994,69,Canola,18.4
1995,69,Canola,23.9
1996,69,Canola,22.6
1997,69,Canola,15.0
1998,69,Canola,23.2
1999,69,Canola,27.1
2000,69,Canola,20.1
2001,69,Canola,21.4
2002,69,Canola,30.7
2003,69,Canola,8.8
2004,69,Canola,26.3
2005,69,Canola,20.6
2006,69,Canola,16.7
2007,69,Canola,23.3
2008,69,Canola,24.1
2009,69,Canola,30.2
2010,69,Canola,30.0
2011,69,Canola,24.1
2012,69,Canola,20.7
2013,69,Canola,31.4
2014,69,Canola,27.82
2015,69,Canola,29.67
2016,69,Canola,37.6
2017,69,Canola,20.8
2018,69,Canola,24.9
2019,69,Canola,33.0
2020,69,Canola,37.0
2021,69,Canola,25.7
2022,69,Canola,33.7
2023,69,Canola,21.5
2024,69,Canola,15.6
2025,69,Canola,44.4
1986,70,Canola,25.0
1993,70,Canola,20.0
1994,70,Canola,16.3
1995,70,Canola,19.4
1996,70,Canola,18.4
1997,70,Canola,17.9
1998,70,Canola,25.7
1999,70,Canola,31.8
2000,70,Canola,21.0
2001,70,Canola,23.2
2002,70,Canola,20.1
2003,70,Canola,10.1
2004,70,Canola,21.6
2005,70,Canola,28.5
2006,70,Canola,22.3
2007,70,Canola,16.8
2008,70,Canola,22.2
2009,70,Canola,33.5
2010,70,Canola,33.3
2011,70,Canola,25.2
2012,70,Canola,25.2
2013,70,Canola,31.3
2014,70,Canola,30.21
2015,70,Canola,32.81
2016,70,Canola,39.8
2017,70,Canola,16.86
2018,70,Canola,25.0
2019,70,Canola,34.1
2020,70,Canola,40.6
2021,70,Canola,24.2
2022,70,Canola,34.3
2023,70,Canola,27.3
2024,70,Canola,18.7
2025,70,Canola,41.9
1972,71,Canola,12.0
1984,71,Canola,6.0
1985,71,Canola,4.0
1993,71,Canola,25.0
1994,71,Canola,25.0
1995,71,Canola,23.3
1996,71,Canola,25.9
1997,71,Canola,16.2
1998,71,Canola,26.4
1999,71,Canola,26.0
2000,71,Canola,31.0
2001,71,Canola,18.4
2002,71,Canola,26.5
2003,71,Canola,10.5
2004,71,Canola,32.2
2005,71,Canola,29.0
2006,71,Canola,19.0
2007,71,Canola,15.1
2008,71,Canola,25.9
2009,71,Canola,35.8
2010,71,Canola,31.3
2011,71,Canola,24.9
2012,71,Canola,26.5
2013,71,Canola,29.9
2014,71,Canola,30.47
2015,71,Canola,33.44
2016,71,Canola,40.1
2017,71,Canola,18.1
2018,71,Canola,26.5
2019,71,Canola,41.0
2020,71,Canola,34.2
2021,71,Canola,21.1
2022,71,Canola,34.7
2023,71,Canola,17.5
2024,71,Canola,9.7
2025,71,Canola,37.5
1971,72,Canola,15.0
1974,72,Canola,18.0
1984,72,Canola,7.0
1994,72,Canola,23.3
1995,72,Canola,21.0
1996,72,Canola,21.6
1997,72,Canola,12.0
1998,72,Canola,18.5
1999,72,Canola,26.7
2000,72,Canola,31.1
2001,72,Canola,29.0
2002,72,Canola,18.9
2003,72,Canola,6.2
2004,72,Canola,27.9
2005,72,Canola,18.9
2006,72,Canola,13.9
2007,72,Canola,13.2
2008,72,Canola,23.4
2010,72,Canola,27.9
2011,72,Canola,27.8
2012,72,Canola,26.6
2013,72,Canola,38.6
2014,72,Canola,35.71
2015,72,Canola,31.94
2016,72,Canola,47.9
2017,72,Canola,24.84
2018,72,Canola,28.3
2019,72,Canola,43.4
2020,72,Canola,34.9
2021,72,Canola,14.2
2022,72,Canola,26.8
2023,72,Canola,17.9
2024,72,Canola,10.6
2025,72,Canola,28.0
1970,73,Canola,20.0
1971,73,Canola,14.0
1987,73,Canola,30.0
1994,73,Canola,30.0
1995,73,Canola,18.4
1996,73,Canola,25.0
1997,73,Canola,9.9
1998,73,Canola,14.2
1999,73,Canola,28.1
2000,73,Canola,25.7
2001,73,Canola,25.2
2002,73,Canola,30.0
2003,73,Canola,8.3
2004,73,Canola,30.0
2005,73,Canola,26.7
2006,73,Canola,25.7
2007,73,Canola,17.7
2008,73,Canola,17.8
2009,73,Canola,27.0
2010,73,Canola,35.2
2011,73,Canola,32.9
2012,73,Canola,28.9
2013,73,Canola,35.3
2014,73,Canola,38.77
2015,73,Canola,36.82
2016,73,Canola,40.9
2017,73,Canola,24.44
2018,73,Canola,24.9
2019,73,Canola,39.8
2020,73,Canola,32.2
2021,73,Canola,7.0
2022,73,Canola,17.5
2023,73,Canola,15.9
2024,73,Canola,10.3
2025,73,Canola,25.6
1970,74,Canola,20.0
1971,74,Canola,15.0
1972,74,Canola,15.0
1981,74,Canola,10.0
1982,74,Canola,16.0
1984,74,Canola,7.0
1994,74,Canola,20.0
1995,74,Canola,15.0
1997,74,Canola,10.7
1998,74,Canola,18.6
1999,74,Canola,27.6
2000,74,Canola,25.0
2001,74,Canola,15.8
2002,74,Canola,20.0
2003,74,Canola,11.6
2007,74,Canola,10.6
2008,74,Canola,15.0
2009,74,Canola,13.5
2010,74,Canola,25.9
2011,74,Canola,27.2
2012,74,Canola,20.7
2013,74,Canola,33.5
2014,74,Canola,26.87
2015,74,Canola,35.17
2016,74,Canola,42.3
2017,74,Canola,24.66
2018,74,Canola,24.7
2019,74,Canola,34.0
2020,74,Canola,21.8
2021,74,Canola,5.2
2022,74,Canola,12.3
2023,74,Canola,12.3
2024,74,Canola,14.2
2025,74,Canola,30.1
1989,75,Canola,30.0
1993,75,Canola,28.0
1994,75,Canola,18.0
1995,75,Canola,16.0
1996,75,Canola,15.0
1997,75,Canola,17.2
1998,75,Canola,13.5
1999,75,Canola,27.2
2000,75,Canola,21.6
2001,75,Canola,11.6
2002,75,Canola,21.6
2003,75,Canola,9.9
2004,75,Canola,33.0
2005,75,Canola,14.5
2006,75,Canola,13.9
2007,75,Canola,11.4
2008,75,Canola,14.0
2009,75,Canola,14.0
2010,75,Canola,32.5
2011,75,Canola,30.3
2012,75,Canola,23.7
2013,75,Canola,31.6
2014,75,Canola,29.74
2015,75,Canola,38.25
2016,75,Canola,48.3
2017,75,Canola,19.88
2018,75,Canola,24.0
2019,75,Canola,33.7
2020,75,Canola,27.6
2021,75,Canola,7.4
2022,75,Canola,14.6
2023,75,Canola,12.2
2024,75,Canola,13.7
2025,75,Canola,30.4
1971,76,Canola,15.0
1989,76,Canola,6.0
1994,76,Canola,17.8
1995,76,Canola,17.2
1997,76,Canola,18.0
1998,76,Canola,15.9
1999,76,Canola,19.5
2000,76,Canola,23.2
2001,76,Canola,10.0
2002,76,Canola,15.0
2003,76,Canola,10.0
2004,76,Canola,27.5
2005,76,Canola,20.0
2006,76,Canola,17.0
2007,76,Canola,10.7
2008,76,Canola,15.0
2009,76,Canola,15.0
2011,76,Canola,33.3
2012,76,Canola,25.0
2013,76,Canola,50.0
2014,76,Canola,33.5
2015,76,Canola,42.17
2016,76,Canola,46.1
2017,76,Canola,18.39
2018,76,Canola,15.0
2020,76,Canola,30.6
2021,76,Canola,7.3
2022,76,Canola,9.0
2023,76,Canola,13.8
2024,76,Canola,14.3
2025,76,Canola,36.0
1970,77,Canola,16.0
1983,77,Canola,15.0
1984,77,Canola,5.0
1995,77,Canola,18.0
1996,77,Canola,11.4
1999,77,Canola,25.4
2002,77,Canola,13.1
2004,77,Canola,31.7
2005,77,Canola,34.8
2010,77,Canola,29.0
2011,77,Canola,26.4
2012,77,Canola,25.3
2013,77,Canola,38.6
2014,77,Canola,31.45
2015,77,Canola,36.87
2016,77,Canola,41.8
2017,77,Canola,20.62
2018,77,Canola,20.6
2019,77,Canola,35.5
2020,77,Canola,27.7
2021,77,Canola,5.9
2022,77,Canola,7.0
2023,77,Canola,8.8
2024,77,Canola,26.1
2025,77,Canola,33.8
1970,78,Canola,17.0
1987,78,Canola,20.0
1990,78,Canola,20.0
1991,78,Canola,18.0
1993,78,Canola,25.0
1994,78,Canola,18.0
1995,78,Canola,18.0
1996,78,Canola,21.0
1997,78,Canola,16.6
1998,78,Canola,18.6
1999,78,Canola,20.3
2000,78,Canola,23.2
2002,78,Canola,17.8
2003,78,Canola,13.9
2004,78,Canola,26.3
2005,78,Canola,22.2
2006,78,Canola,8.0
2007,78,Canola,13.0
2008,78,Canola,12.5
2009,78,Canola,23.5
2011,78,Canola,22.4
2012,78,Canola,22.2
2013,78,Canola,37.9
2014,78,Canola,27.37
2015,78,Canola,33.38
2016,78,Canola,51.6
2017,78,Canola,22.11
2018,78,Canola,22.1
2019,78,Canola,42.3
2020,78,Canola,28.3
2021,78,Canola,16.5
2022,78,Canola,14.7
2023,78,Canola,14.2
2024,78,Canola,23.6
2025,78,Canola,38.8
1979,79,Canola,22.0
1980,79,Canola,30.0
1982,79,Canola,25.0
1983,79,Canola,25.0
1984,79,Canola,12.0
1985,79,Canola,5.0
1986,79,Canola,27.6
1987,79,Canola,30.0
